start,end,committee,where,role,details
2019,2020,General Faculties Council,University of Lethbridge,Alternate Member,
2019,2020,Departmental Review Committee,"Department of Music, University of Lethbridge",Member,
2019,2020,Conversations in the Arts Committee,"Faculty of Fine Arts, University of Lethbridge",Member,
2019,2020,Curriculum Committee,"Department of Music, University of Lethbridge",Member,
2018,2019,Scholarship Committee,"Department of Music, University of Lethbridge",Member,
2018,2019,Gold Medal Committee,"Faculty of Fine Arts, University of Lethbridge",Member,
2018,2019,Dean Search Committee,"Faculty of Fine Arts, University of Lethbridge",,
2018,2019,Curriculum Committee,"Faculty of Fine Arts, University of Lethbridge",,
2017,2018,"Search Committee, Wind Orchestra","Department of Music, University of Lethbridge",,
2017,2018,Library Representative,"Department of Music, University of Lethbridge",,
2017,2018,Curriculum Committee,"Faculty of Fine Arts, University of Lethbridge",,
2017,2018,UNIWeb Working Group,University of Lethbridge,,
2016,2017,Executive Committee,"Faculty of Fine Arts, University of Lethbridge",,
2016,2017,Chair Selection Committee,"Department of Music, University of Lethbridge",,
2015,2016,"Search Committee, University Librarian",University of Lethbridge,,
2015,2016,BA in Music Program Design Committee,"Department of Music, University of Lethbridge",,
